timeframe,date,open,high,low,close,volume,peak_or_valley,strength,permanent_strength
1min,2023-12-22 13:29:00+00:00,43649.7,43660.3,43649.7,43659.2,0.62467985,peak,360.0,True
1min,2023-12-22 13:32:00+00:00,43658.6,43658.6,43589.5,43589.6,9.13112327,valley,540.0,True
1min,2023-12-22 13:38:00+00:00,43709.9,43723.3,43690.3,43705.0,1.63737969,valley,120.0,True
15min,2023-12-22 13:41:00+00:00,43779.4,43807.7,43765.4,43807.6,0.98234286,peak,6900.0,True
1min,2023-12-22 13:43:00+00:00,43774.9,43783.9,43766.7,43783.5,2.16922639,valley,120.0,True
1min,2023-12-22 13:45:00+00:00,43775.6,43783.9,43770.5,43770.6,0.63010431,valley,120.0,True
1min,2023-12-22 13:46:00+00:00,43770.6,43799.1,43770.6,43787.3,4.43269117,peak,240.0,True
1min,2023-12-22 13:47:00+00:00,43787.4,43799.1,43767.0,43790.2,11.34796611,valley,120.0,True
1min,2023-12-22 13:53:00+00:00,43736.2,43752.3,43712.6,43712.9,5.81746948,peak,180.0,True
1min,2023-12-22 13:54:00+00:00,43708.9,43734.2,43708.8,43734.2,0.94941864,valley,180.0,True
1min,2023-12-22 13:55:00+00:00,43739.9,43739.9,43731.9,43731.9,1.60616855,peak,120.0,True
1min,2023-12-22 13:58:00+00:00,43705.0,43705.0,43684.3,43696.3,1.89934101,valley,300.0,True
1min,2023-12-22 14:03:00+00:00,43701.6,43731.0,43676.1,43731.0,8.91731235,valley,180.0,True
5min,2023-12-22 14:04:00+00:00,43730.9,43748.9,43709.7,43709.7,2.20094852,peak,660.0,True
1min,2023-12-22 14:08:00+00:00,43650.0,43663.9,43650.0,43663.9,0.1112004,peak,120.0,True
1min,2023-12-22 14:12:00+00:00,43538.9,43575.2,43538.9,43574.9,11.29916307,valley,120.0,True
1min,2023-12-22 14:13:00+00:00,43574.8,43593.8,43551.4,43551.4,0.45558196,peak,180.0,True
1min,2023-12-22 14:15:00+00:00,43539.2,43551.8,43529.2,43539.6,5.44340349,valley,360.0,True
1min,2023-12-22 14:17:00+00:00,43590.2,43600.1,43565.3,43578.0,3.80782816,peak,120.0,True
1min,2023-12-22 14:19:00+00:00,43570.1,43604.6,43570.1,43604.6,4.59523315,peak,540.0,True
1min,2023-12-22 14:25:00+00:00,43424.3,43476.7,43417.0,43419.8,4.60987636,peak,120.0,True
1min,2023-12-22 14:25:00+00:00,43424.3,43476.7,43417.0,43419.8,4.60987636,valley,180.0,True
1min,2023-12-22 14:27:00+00:00,43464.0,43481.2,43448.3,43454.1,2.15425199,peak,240.0,True
4H,2023-12-22 14:29:00+00:00,43425.1,43431.2,43411.0,43422.9,3.0401527,valley,34200.0,False
1min,2023-12-22 14:31:00+00:00,43457.3,43489.6,43448.6,43469.0,1.20456665,peak,120.0,True
1min,2023-12-22 14:32:00+00:00,43468.6,43470.6,43438.4,43468.9,0.93905008,valley,120.0,True
1min,2023-12-22 14:34:00+00:00,43497.9,43500.0,43483.2,43483.2,45.5003015,peak,180.0,True
1min,2023-12-22 14:35:00+00:00,43479.9,43497.5,43454.0,43466.3,1.63384813,valley,180.0,True
1min,2023-12-22 14:38:00+00:00,43544.1,43548.0,43529.7,43548.0,2.6659647,peak,240.0,True
1min,2023-12-22 14:40:00+00:00,43522.9,43522.9,43492.9,43518.0,3.06750959,valley,240.0,True
1min,2023-12-22 14:43:00+00:00,43580.0,43581.8,43552.8,43557.2,2.96223109,peak,240.0,True
1min,2023-12-22 14:46:00+00:00,43522.7,43571.9,43505.5,43571.9,3.4720281,valley,360.0,True
1min,2023-12-22 14:47:00+00:00,43574.4,43589.4,43549.9,43549.9,4.2649851,peak,180.0,True
1min,2023-12-22 14:49:00+00:00,43546.8,43546.8,43523.5,43526.3,1.34573788,valley,180.0,True
15min,2023-12-22 14:56:00+00:00,43685.9,43699.0,43657.8,43657.8,5.85896922,peak,3060.0,True
1min,2023-12-22 14:58:00+00:00,43679.6,43679.6,43640.3,43640.4,2.14845275,peak,120.0,True
1min,2023-12-22 15:00:00+00:00,43636.3,43658.9,43628.6,43632.8,4.23529686,peak,120.0,True
1min,2023-12-22 15:02:00+00:00,43598.1,43599.8,43580.7,43597.1,1.69643805,valley,120.0,True
1min,2023-12-22 15:05:00+00:00,43576.6,43610.2,43575.8,43581.3,2.4153251,valley,120.0,True
1min,2023-12-22 15:05:00+00:00,43576.6,43610.2,43575.8,43581.3,2.4153251,peak,120.0,True
5min,2023-12-22 15:07:00+00:00,43579.7,43615.5,43574.2,43615.5,1.55215434,valley,960.0,True
1min,2023-12-22 15:09:00+00:00,43610.9,43645.8,43610.8,43615.4,1.75087706,peak,300.0,True
1min,2023-12-22 15:11:00+00:00,43584.9,43615.2,43584.9,43615.2,1.63480346,valley,240.0,True
