timeframe,date,open,high,low,close,volume,peak_or_valley,strength
15min,2017-12-30 12:27:00,13300.01,13327.52,13251.91,13291.29,10.44238198,peak,0 days 00:20:00
1min,2017-12-30 12:29:00,13251.97,13251.97,13182.97,13237.37,26.18508537,valley,0 days 00:02:00
5min,2017-12-30 12:31:00,13169.12,13237.38,13169.12,13171.26,6.46016534,valley,0 days 00:05:00
5min,2017-12-30 12:35:00,13237.63,13260.95,13222.17,13259.22,2.10978411,peak,0 days 00:07:00
1min,2017-12-30 12:39:00,13108.71,13125.0,13032.85,13039.91,22.06270667,peak,0 days 00:02:00
1min,2017-12-30 12:40:00,13047.0,13065.06,13000.34,13059.4,35.03943808,valley,0 days 00:04:00
1min,2017-12-30 12:41:00,13049.69,13098.51,13001.05,13074.66,7.5718651,peak,0 days 00:02:00
1min,2017-12-30 12:46:00,12865.16,12939.73,12799.99,12840.0,92.57441436,peak,0 days 00:02:00
5min,2017-12-30 12:49:00,12834.83,12835.0,12700.74,12759.95,78.4457569,valley,0 days 00:08:00
1min,2017-12-30 12:51:00,12804.78,12857.41,12780.0,12839.99,21.03283153,peak,0 days 00:02:00
1min,2017-12-30 12:54:00,12720.0,12894.9,12701.11,12850.0,33.35460639,valley,0 days 00:03:00
5min,2017-12-30 12:54:00,12720.0,12894.9,12701.11,12850.0,33.35460639,peak,0 days 00:08:00
1min,2017-12-30 12:58:00,12699.0,12700.0,12616.62,12699.99,71.17608675,valley,0 days 00:02:00
1min,2017-12-30 12:59:00,12699.99,12785.86,12699.97,12743.91,11.01854569,peak,0 days 00:02:00
1min,2017-12-30 13:03:00,12514.55,12596.64,12447.0,12534.91,94.77830137,peak,0 days 00:02:00
5min,2017-12-30 13:03:00,12514.55,12596.64,12447.0,12534.91,94.77830137,valley,0 days 00:08:00
1min,2017-12-30 13:07:00,12467.76,12584.96,12447.01,12550.0,16.26600613,peak,0 days 00:02:00
1min,2017-12-30 13:07:00,12467.76,12584.96,12447.01,12550.0,16.26600613,valley,0 days 00:04:00
5min,2017-12-30 13:10:00,12610.2,12618.04,12463.52,12463.52,27.79379523,peak,0 days 00:09:00
1min,2017-12-30 13:12:00,12400.01,12460.13,12367.08,12400.76,56.77966296,valley,0 days 00:03:00
1H,2017-12-30 13:20:00,12250.03,12291.04,12244.19,12266.29,21.16563782,valley,0 days 03:17:00
5min,2017-12-30 13:22:00,12445.03,12500.0,12445.0,12479.08,46.57654354,peak,0 days 00:05:00
1min,2017-12-30 13:24:00,12400.0,12453.95,12301.0,12405.87,34.12819749,valley,0 days 00:03:00
1min,2017-12-30 13:28:00,12522.43,12522.43,12440.1,12450.0,14.67037662,peak,0 days 00:02:00
5min,2017-12-30 13:29:00,12450.0,12453.76,12380.03,12453.66,47.59467717,valley,0 days 00:05:00
1min,2017-12-30 13:32:00,12514.66,12553.75,12421.75,12553.75,12.50106833,valley,0 days 00:03:00
5min,2017-12-30 13:33:00,12553.75,12616.6,12553.65,12616.5,48.21061308,peak,0 days 00:12:00
1min,2017-12-30 13:34:00,12616.59,12616.59,12522.26,12576.71,33.78296157,valley,0 days 00:02:00
5min,2017-12-30 13:37:00,12567.51,12567.51,12495.78,12516.28,17.24974246,valley,0 days 00:05:00
1min,2017-12-30 13:38:00,12516.28,12600.0,12516.28,12591.77,19.74469221,peak,0 days 00:03:00
5min,2017-12-30 13:42:00,12533.08,12533.1,12468.39,12509.0,16.40806546,valley,0 days 00:10:00
5min,2017-12-30 13:47:00,12586.96,12679.76,12586.96,12618.13,34.7695273,peak,0 days 00:05:00
1min,2017-12-30 13:50:00,12666.94,12679.75,12600.0,12673.4,31.49103833,peak,0 days 00:02:00
1min,2017-12-30 13:51:00,12673.4,12673.81,12595.0,12595.01,39.17949732,valley,0 days 00:04:00
5min,2017-12-30 13:53:00,12699.92,12711.45,12673.79,12699.86,13.38368087,peak,0 days 00:05:00
1min,2017-12-30 13:54:00,12699.86,12699.86,12627.52,12657.86,23.57115311,valley,0 days 00:02:00
1min,2017-12-30 13:56:00,12657.86,12658.35,12620.0,12639.61,19.89605826,valley,0 days 00:04:00
1min,2017-12-30 14:02:00,12806.99,12868.88,12781.14,12852.03,44.42590252,peak,0 days 00:02:00
1min,2017-12-30 14:03:00,12850.0,12850.0,12759.38,12830.47,19.46599774,valley,0 days 00:02:00
1min,2017-12-30 14:06:00,12848.65,12871.15,12829.93,12871.15,11.21794621,valley,0 days 00:02:00
1H,2017-12-30 14:13:00,12980.76,13023.96,12949.93,13023.85,12.29437583,peak,0 days 01:29:00
5min,2017-12-30 14:16:00,12889.6,12914.45,12700.0,12845.72,110.2237075,valley,0 days 00:13:00
5min,2017-12-30 14:20:00,12798.97,12800.0,12700.0,12799.9,30.78837017,valley,0 days 00:09:00
5min,2017-12-30 14:24:00,12794.36,12800.0,12756.89,12800.0,43.58526939,peak,0 days 00:07:00
1min,2017-12-30 14:32:00,12500.0,12549.99,12460.07,12481.08,13.81113122,valley,0 days 00:04:00
1min,2017-12-30 14:34:00,12548.43,12609.64,12500.0,12528.53,5.77628608,peak,0 days 00:03:00
1H,2017-12-30 14:38:00,12449.98,12499.97,12435.93,12494.98,5.04982296,valley,0 days 01:06:00
1min,2017-12-30 14:43:00,12680.0,12711.46,12680.0,12682.01,16.23628284,peak,0 days 00:04:00
