timeframe,date,open,close,low,high,volume,ATR
1min,2017-10-06 03:49:00,4323.1,4323.1,4323.1,4323.1,0.0,3.1893354893355608
1min,2017-10-06 03:50:00,4322.01,4322.01,4322.01,4322.01,0.04493042,3.0393829543830315
1min,2017-10-06 03:51:00,4322.01,4322.01,4322.01,4322.01,0.0,2.822284171927101
1min,2017-10-06 03:52:00,4320.0,4320.0,4320.0,4320.0,0.10374,2.764263873932323
1min,2017-10-06 03:53:00,4320.01,4320.01,4320.0,4320.01,0.28,2.56753074008003
1min,2017-10-06 03:54:00,4320.0,4320.0,4320.0,4320.0,0.16,2.384849972931472
1min,2017-10-06 03:55:00,4320.0,4320.0,4320.0,4322.42,0.72873717,2.3873606891506576
1min,2017-10-06 03:56:00,4320.0,4320.0,4320.0,4322.35,1.25534616,2.3846920684970647
1min,2017-10-06 03:57:00,4320.0,4320.0,4320.0,4320.0,0.28,2.2143569207472744
1min,2017-10-06 03:58:00,4322.14,4320.0,4320.0,4322.69,3.38257695,2.248331426408155
1min,2017-10-06 03:59:00,4322.05,4320.0,4320.0,4322.05,5.13013335,2.2341648959504425
1min,2017-10-06 04:00:00,4320.0,4322.55,4320.0,4322.57,3.97820731,2.2581531176682472
1min,2017-10-06 04:01:00,4322.42,4317.0,4317.0,4322.55,3.18,2.493285037834814
1min,2017-10-06 04:02:00,4317.0,4317.01,4317.0,4317.01,0.08925,2.315907535132343
1min,2017-10-06 04:03:00,4318.93,4315.95,4315.0,4318.93,15.97143365,2.431199854051482
1min,2017-10-06 04:04:00,4315.93,4316.71,4315.92,4322.48,7.69272451,2.726114150190625
1min,2017-10-06 04:05:00,4316.71,4316.71,4316.71,4316.71,0.0,2.531391710891295
1min,2017-10-06 04:06:00,4320.61,4320.61,4320.61,4320.61,0.03798161,2.629149445827605
1min,2017-10-06 04:07:00,4317.11,4312.78,4312.0,4317.11,21.65707905,3.0563530568398956
1min,2017-10-06 04:08:00,4313.26,4314.04,4310.5,4314.04,3.04399783,3.090899267065615
1min,2017-10-06 04:09:00,4314.03,4310.51,4310.5,4314.03,3.15677662,3.12297789084664
1min,2017-10-06 04:10:00,4310.5,4310.48,4306.2,4310.5,2.71609124,3.207765184357623
1min,2017-10-06 04:11:00,4309.61,4309.6,4309.6,4309.61,1.44240893,3.0414962426177357
1min,2017-10-06 04:12:00,4309.61,4309.6,4309.6,4309.61,1.49964,2.8249607967164194
1min,2017-10-06 04:13:00,4309.6,4309.6,4309.6,4309.6,0.0,2.6231778826652463
1min,2017-10-06 04:14:00,4310.51,4312.2,4310.51,4312.2,10.010065,2.62152231961769
1min,2017-10-06 04:15:00,4309.61,4309.61,4309.61,4309.61,1.49964,2.6192707253592937
1min,2017-10-06 04:16:00,4312.18,4314.57,4312.18,4314.57,1.44897394,2.7864656735479185
