timeframe,date,open,close,high,low,volume
1min,2023-10-23 17:31:00,30869.3,30941.4,30943.2,30831.9,10.11252024
1min,2023-10-23 17:32:00,30942.5,30951.0,30964.6,30923.6,7.80896549
1min,2023-10-23 17:33:00,30953.3,30929.5,30962.9,30929.5,3.51504057
1min,2023-10-23 17:34:00,30927.2,30923.4,30934.3,30895.2,3.76241163
1min,2023-10-23 17:35:00,30926.0,30970.1,30976.5,30913.1,8.96512616
5min,2023-10-23 17:35:00,30926.0,31008.2,31023.9,30913.1,30.179392800000002
1min,2023-10-23 17:36:00,30971.8,30999.3,31007.0,30969.2,8.83582182
1min,2023-10-23 17:37:00,31005.0,30974.0,31011.0,30974.0,4.00637108
1min,2023-10-23 17:38:00,30972.2,31003.4,31011.1,30972.2,6.28863762
1min,2023-10-23 17:39:00,31007.5,31008.2,31023.9,31007.5,2.08343612
1min,2023-10-23 17:40:00,31008.1,31044.3,31044.3,31008.0,4.56793961
5min,2023-10-23 17:40:00,31008.1,31002.6,31078.0,31000.0,21.22930142
1min,2023-10-23 17:41:00,31044.7,31052.0,31052.0,31033.4,7.97726909
1min,2023-10-23 17:42:00,31052.8,31045.9,31078.0,31035.7,2.96511358
1min,2023-10-23 17:43:00,31046.0,31032.9,31050.2,31018.6,1.60954414
1min,2023-10-23 17:44:00,31032.9,31002.6,31032.9,31000.0,4.109435
15min,2023-10-23 17:45:00,31004.8,30977.0,31091.9,30959.0,74.18117259
1min,2023-10-23 17:45:00,31004.8,31041.2,31041.3,30988.9,0.88692978
5min,2023-10-23 17:45:00,31004.8,31077.0,31078.4,30988.4,41.7530664
1min,2023-10-23 17:46:00,31039.1,31009.3,31041.3,30988.4,20.4783307
1min,2023-10-23 17:47:00,31009.2,31043.0,31043.0,31009.2,12.67154352
1min,2023-10-23 17:48:00,31027.3,31032.0,31040.6,31019.2,4.30757899
1min,2023-10-23 17:49:00,31039.6,31077.0,31078.4,31035.1,3.40868341
1min,2023-10-23 17:50:00,31077.1,31052.1,31087.9,31052.1,3.34954046
5min,2023-10-23 17:50:00,31077.1,31027.5,31091.9,31006.0,18.69451398
1min,2023-10-23 17:51:00,31050.9,31051.3,31091.9,31040.7,5.81283301
1min,2023-10-23 17:52:00,31041.9,31015.0,31045.8,31006.0,6.92922932
1min,2023-10-23 17:53:00,31011.8,31018.3,31029.7,31011.8,1.9734346
1min,2023-10-23 17:54:00,31017.9,31027.5,31027.5,31017.9,0.62947659
1min,2023-10-23 17:55:00,31027.4,31049.6,31049.6,31020.5,2.39215726
5min,2023-10-23 17:55:00,31027.4,30977.0,31049.9,30959.0,13.733592210000001
1min,2023-10-23 17:56:00,31049.2,31044.7,31049.9,31037.6,1.39776131
1min,2023-10-23 17:57:00,31044.6,31025.3,31044.7,31025.3,0.57063177
1min,2023-10-23 17:58:00,31025.3,31001.0,31025.4,31001.0,0.37752969
1min,2023-10-23 17:59:00,31002.8,30977.0,31013.5,30959.0,8.99551218
15min,2023-10-23 18:00:00,30974.7,31109.0,31111.3,30972.9,44.46040088
1H,2023-10-23 18:00:00,30974.7,31179.2,31187.5,30721.9,447.19510012
1min,2023-10-23 18:00:00,30974.7,31010.4,31015.4,30972.9,3.59325564
5min,2023-10-23 18:00:00,30974.7,31073.7,31073.8,30972.9,19.23429664
1min,2023-10-23 18:01:00,31012.6,31036.1,31036.1,31012.6,0.32395733
1min,2023-10-23 18:02:00,31036.0,31025.5,31036.6,31013.4,7.99141198
1min,2023-10-23 18:03:00,31025.5,31046.0,31049.0,31025.5,4.72902516
1min,2023-10-23 18:04:00,31048.9,31073.7,31073.8,31046.6,2.59664653
1min,2023-10-23 18:05:00,31073.7,31098.6,31103.3,31061.6,2.20380888
5min,2023-10-23 18:05:00,31073.7,31036.5,31103.3,31018.7,15.50434619
1min,2023-10-23 18:06:00,31100.4,31062.2,31100.4,31062.1,2.7984694
1min,2023-10-23 18:07:00,31060.7,31018.7,31060.7,31018.7,6.35962548
1min,2023-10-23 18:08:00,31018.7,31019.0,31028.3,31018.7,0.42807983
1min,2023-10-23 18:09:00,31019.0,31036.5,31047.4,31019.0,3.7143626
1min,2023-10-23 18:10:00,31035.3,31065.9,31065.9,31035.3,2.82873721
5min,2023-10-23 18:10:00,31035.3,31109.0,31111.3,31035.3,9.72175805
1min,2023-10-23 18:11:00,31066.0,31075.1,31085.4,31066.0,2.39798645
1min,2023-10-23 18:12:00,31075.1,31092.2,31092.7,31075.1,0.676784
1min,2023-10-23 18:13:00,31092.1,31086.4,31092.1,31071.9,2.45376881
1min,2023-10-23 18:14:00,31089.9,31109.0,31111.3,31089.9,1.36448158
15min,2023-10-23 18:15:00,31108.9,30984.4,31110.5,30973.3,31.36289256
1min,2023-10-23 18:15:00,31108.9,31094.1,31110.5,31089.8,1.44770909
5min,2023-10-23 18:15:00,31108.9,31035.4,31110.5,31031.1,7.91127186
1min,2023-10-23 18:16:00,31099.8,31042.2,31105.0,31036.4,3.41109486
1min,2023-10-23 18:17:00,31042.2,31064.4,31075.0,31042.2,1.67265502
1min,2023-10-23 18:18:00,31064.2,31032.8,31064.2,31032.8,0.43534015
1min,2023-10-23 18:19:00,31032.8,31035.4,31037.2,31031.1,0.94447274
1min,2023-10-23 18:20:00,31035.5,31018.6,31042.5,31005.9,6.39679241
5min,2023-10-23 18:20:00,31035.5,31028.0,31042.5,31005.9,14.16127071
1min,2023-10-23 18:21:00,31018.7,31024.9,31037.9,31018.3,2.72970389
1min,2023-10-23 18:22:00,31024.9,31025.3,31035.9,31024.9,1.7722654
1min,2023-10-23 18:23:00,31026.9,31012.9,31028.6,31011.2,1.04731251
1min,2023-10-23 18:24:00,31014.8,31028.0,31028.1,31011.2,2.2151965
1min,2023-10-23 18:25:00,31024.3,31006.4,31024.4,31003.0,1.5387364
5min,2023-10-23 18:25:00,31024.3,30984.4,31024.4,30973.3,9.29034999
1min,2023-10-23 18:26:00,31006.4,30992.8,31006.5,30988.7,1.3143815
1min,2023-10-23 18:27:00,30990.6,30990.4,30993.5,30985.0,1.32998466
1min,2023-10-23 18:28:00,30990.4,30973.3,30992.1,30973.3,2.18250107
1min,2023-10-23 18:29:00,30973.3,30984.4,30995.1,30973.3,2.92474636
15min,2023-10-23 18:30:00,30984.4,30857.1,31005.0,30721.9,97.63313926000001
1min,2023-10-23 18:30:00,30984.4,30999.1,30999.1,30981.0,0.73804339
5min,2023-10-23 18:30:00,30984.4,30971.1,31000.4,30971.1,15.25854429
1min,2023-10-23 18:31:00,30997.8,30980.1,30997.8,30972.4,5.67200259
1min,2023-10-23 18:32:00,30983.1,30987.0,30992.7,30973.7,1.85307549
1min,2023-10-23 18:33:00,30987.5,30978.2,31000.4,30978.2,4.41771951
1min,2023-10-23 18:34:00,30978.2,30971.1,30981.0,30971.1,2.57770331
1min,2023-10-23 18:35:00,30971.2,30976.1,30976.1,30965.1,2.92510407
5min,2023-10-23 18:35:00,30971.2,31005.0,31005.0,30965.1,7.99074778
1min,2023-10-23 18:36:00,30976.1,30995.5,30995.7,30976.1,1.44017546
1min,2023-10-23 18:37:00,30995.6,30979.2,30995.6,30979.2,1.95456469
