timeframe,date,bull_bear_side,end,internal_high,high_time,internal_low,low_time,movement,atr,movement_start_value,movement_end_value,movement_start_time,movement_end_time
1min,2023-11-16 05:40:00+00:00,SIDE_TREND,2023-11-16 05:53:00+00:00,37447.5,2023-11-16 05:50:00+00:00,37397.7,2023-11-16 05:48:00+00:00,49.80000000000291,12.304396429385674,,,,
1min,2023-11-16 05:53:00+00:00,BULLISH_TREND,2023-11-16 05:58:00+00:00,37460.2,2023-11-16 05:57:00+00:00,37397.7,2023-11-16 05:53:00+00:00,62.5,13.341442066373848,37397.7,37460.2,2023-11-16 05:48:00+00:00,2023-11-16 05:57:00+00:00
1min,2023-11-16 05:58:00+00:00,SIDE_TREND,2023-11-16 06:00:00+00:00,37459.3,2023-11-16 05:58:00+00:00,37441.2,2023-11-16 05:58:00+00:00,18.10000000000582,14.518896257093814,,,,
1min,2023-11-16 06:00:00+00:00,BULLISH_TREND,2023-11-16 06:08:00+00:00,37479.3,2023-11-16 06:07:00+00:00,37397.7,2023-11-16 06:01:00+00:00,81.60000000000582,13.834718273678254,37397.7,37479.3,2023-11-16 05:48:00+00:00,2023-11-16 06:07:00+00:00
1min,2023-11-16 06:08:00+00:00,SIDE_TREND,2023-11-16 06:15:00+00:00,37509.3,2023-11-16 06:14:00+00:00,37462.1,2023-11-16 06:08:00+00:00,47.200000000004366,12.177945991747212,,,,
1min,2023-11-16 06:15:00+00:00,BEARISH_TREND,2023-11-16 06:26:00+00:00,37509.3,2023-11-16 06:15:00+00:00,37413.2,2023-11-16 06:25:00+00:00,96.10000000000582,12.97853291584547,37509.3,37413.2,2023-11-16 06:14:00+00:00,2023-11-16 06:25:00+00:00
1min,2023-11-16 06:26:00+00:00,SIDE_TREND,2023-11-16 06:27:00+00:00,37437.1,2023-11-16 06:26:00+00:00,37436.8,2023-11-16 06:26:00+00:00,0.2999999999956344,12.019396082902931,,,,
1min,2023-11-16 06:27:00+00:00,BEARISH_TREND,2023-11-16 06:30:00+00:00,37509.3,2023-11-16 06:29:00+00:00,37410.7,2023-11-16 06:27:00+00:00,98.60000000000582,10.911494842750349,37509.3,37410.7,2023-11-16 06:14:00+00:00,2023-11-16 06:32:00+00:00
1min,2023-11-16 06:30:00+00:00,SIDE_TREND,2023-11-16 06:32:00+00:00,37452.1,2023-11-16 06:30:00+00:00,37412.3,2023-11-16 06:31:00+00:00,39.799999999995634,11.620094241928303,,,,
1min,2023-11-16 06:32:00+00:00,BULLISH_TREND,2023-11-16 06:40:00+00:00,37482.0,2023-11-16 06:39:00+00:00,37410.7,2023-11-16 06:32:00+00:00,71.30000000000291,11.270360452913641,37410.7,37482.0,2023-11-16 06:32:00+00:00,2023-11-16 06:39:00+00:00
